sampleid	ExtractID	JayID	Sex	BirthYear	AgeAtCollection	SampleType	CollectionDate	CollectionDay	CollectionMonth	CollectionSeason	CollectionYear	FoodSupplement	Territory	TerritoryQuality	ProportionSpruceOnTerritory	BreedingStatus	JuvenileStatus	SampledBreederMale	SampledBreederFemale	LatitudeOriginDD	LongitudeOriginDD	LatitudeSamplingDD	LongitudeSamplingDD	MaxTempC	MinTempC	MeanTempC	TotalPrecipMM
#q2:types	categorical	categorical	categorical	numeric	numeric	categorical	categorical	numeric	numeric	categorical	numeric	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
G1	TOGLPOSR-2017	TOGLPOSR	M	2016	3	OralSwab	30/10/2017	30	10	Fall	2017	N	Track	M	52.16	Non-breeder	DominantJuvenile			45.34474543	-78.42056097	45.34366	-78.43057	6.7	1.7	4.2	6.3
G2	KOTLWOSR-2017	KOTLWOSR	M	2013	5	OralSwab	27/10/2017	27	10	Fall	2017	N	HeadCreek	U		Unknown	Unknown					45.33297	-78.3112	9.9	2	6	0
G3	KOSLPOKR-2018	KOSLPOKR	M	2017	2	OralSwab	20/10/2018	20	10	Fall	2018	N	OpeoTurn	M	43.03	Non-breeder	Unknown			45.35379708	-78.195793	45.35308	-78.20232	8.1	-1.4	3.3	2.2
G4	YOBLKOSR-2017	YOBLKOSR	F	2011	5	OralSwab	27/10/2017	27	10	Fall	2017	U	HeadCreek	U		Breeder	Unknown					45.33297	-78.3112	9.9	2	6	0
G5	TOKLKOSR-2017	TOKLKOSR	M	2016	1	OralSwab	01/11/2017	1	11	Fall	2017	N	CedarSwamp	M	54.75	Non-breeder	DominantJuvenile			45.3453553	-78.422206	45.34494	-78.42227	5	-0.5	2.3	0.7
G6	BLANK	BLANK	BLANK	0	0	BLANK	BLANK	0	0	BLANK	2018	BLANK	BLANK	BLANK		BLANK	BLANK										
G7	KOSLPOKR-2017	KOSLPOKR	M	2017	1	OralSwab	16/10/2017	16	10	Fall	2017	N	OpeoTurn	M	43.03	Breeder	Unknown			45.35379708	-78.195793	45.35308	-78.20232	5.6	-2.7	1.5	1
G8	KOTLWOSR-2018	KOTLWOSR	M	2013	6	OralSwab	28/10/2018	28	10	Fall	2018	N	HeadCreek	U		Unknown	Unknown					45.33297	-78.3112	1.9	-1.4	0.3	7.6
G9	YOBLKOSR-2018	YOBLKOSR	F	2011	6	OralSwab	27/10/2018	27	10	Fall	2018	N	HeadCreek	U		Breeder	Unknown					45.33297	-78.3112	3.9	-1.9	1	3.1
G11	TOKLKOSR-2018	TOKLKOSR	M	2016	2	OralSwab	30/10/2018	30	10	Fall	2018	N	CedarSwamp	M	43.03	Breeder	DominantJuvenile			45.3453553	-78.422206	45.34494	-78.42227	5.5	-3.1	1.2	0
G10	TOGLPOSR-2018	TOGLPOSR	M	2016	4	OralSwab	29/10/2018	29	10	Fall	2018	N	Track	M	52.16	Non-breeder	DominantJuvenile			45.34474543	-78.42056097	45.34366	-78.43057	1.7	-1.3	0.2	2.8
G12	BOSLPORR-2017	BOSLPORR	F	2016	2	OralSwab	21/10/2017	21	10	Fall	2017	N	Arowhon	H	75.25	Breeder	Unknown			45.3519584	-78.42064669	45.35147	-78.4201	22.5	2	12.3	0
G13	BOSLPORR-2018	BOSLPORR	F	2016	3	OralSwab	31/10/2018	31	10	Fall	2018	N	Arowhon	H	75.25	Breeder	Unknown			45.3519584	-78.42064669	45.35148	-78.42011	6.3	-0.8	2.8	12.7
G14	TOSLBOGR-2018	TOSLBOGR	F	2015	4	OralSwab	26/10/2018	26	10	Fall	2018	Y	SundayCreek	H	72.57	Breeder	DominantJuvenile			45.3501211	-78.2217056	45.36529	-78.21115	0.3	-1.3	-0.5	0
G15	OOSLPOLR-2017	OOSLPOLR	F	2005	11	OralSwab	21/11/2017	21	11	Fall	2017	N	NorthBog	L	37.91	Breeder	Unknown			45.36420981	-78.21089016	45.36488	-78.20142	4.9	-2.7	1.1	0.5
G16	OOSLPOLR-2018	OOSLPOLR	F	2005	12	OralSwab	23/11/2018	23	11	Fall	2018	N	NorthBog	L	37.91	Breeder	Unknown			45.36420981	-78.21089016	45.36489	-78.20143	-4.2	-28.5	-16.4	0.2
G17	OOSLBOGR-2017	OOSLBOGR	F	2013	5	OralSwab	01/11/2017	1	11	Fall	2017	N	DaviesBog	H	89.08	Breeder	Unknown					45.34496	-78.31253	5	-0.5	2.3	0.7
G18	OOSLBOGR-2018	OOSLBOGR	F	2013	6	OralSwab	30/10/2018	30	10	Fall	2018	N	DaviesBog	H	89.08	Breeder	Unknown					45.34497	-78.31254	5.5	-3.1	1.2	0
G19	KOOLTOSR-2017	KOOLTOSR	F	2014	4	OralSwab	17/10/2017	17	10	Fall	2017	Y	BatLake	H	87.68	Breeder	Unknown			45.35253965	-78.30437097	45.35288	-78.31121	16.5	-1.1	7.7	0
G20	LOYLOOSR-2017	LOYLOOSR	F	2010	8	OralSwab	20/10/2017	20	10	Fall	2017	N	Alligator	M	58.16	Breeder	Unknown					45.32413	-78.15404	20.2	0.3	10.3	0
G21	KOOLTOSR-2018	KOOLTOSR	F	2013	5	OralSwab	17/10/2018	17	10	Fall	2018	Y	BatLake	H	87.68	Breeder	Unknown			45.35253965	-78.30437097	45.35288	-78.31121	5.2	-3.4	0.9	2.3
G22	LOYLOOSR-2018	LOYLOOSR	F	2010	9	OralSwab	18/10/2018	18	10	Fall	2018	N	Alligator	M	58.16	Breeder	Unknown					45.32413	-78.15404	3.9	-5.9	-1	0.3
G23	LOSLWOYR-2016	LOSLWOYR	F	2011	4	OralSwab	17/10/2016	17	10	Fall	2016	Y	ClarkeLake	M	49.09	Breeder	Unknown					45.32087	-78.15441	11.3	5.2	8.3	5.3
G24	LOSLWOYR-2017	LOSLWOYR	F	2011	5	OralSwab	30/10/2017	30	10	Fall	2017	Y	ClarkeLake	M	49.09	Breeder	Unknown					45.32088	-78.15442	6.7	1.7	4.2	6.3
G25	SOYLWOYR-2017	SOYLWOYR	M	2013	4	OralSwab	21/11/2017	21	11	Fall	2017	N	NorthBog	L	37.91	Breeder	EPM					45.36529	-78.21115	4.9	-2.7	1.1	0.5
G27	OOPLOOSR-2018	OOPLOOSR	M	2013	4	OralSwab	30/10/2018	30	10	Fall	2018	N	SWAir	M	66.45	Breeder	Unknown					45.33548	-78.3036	5.5	-3.1	1.2	0
G26	SOYLWOYR-2018	SOYLWOYR	M	2013	5	OralSwab	23/11/2018	23	11	Fall	2018	N	NorthBog	L	37.91	Breeder	EPM					45.36529	-78.21115	-4.2	-28.5	-16.4	0.2
G29	ROLLPOSR-2017	ROLLPOSR	M	2012	6	OralSwab	17/10/2017	17	10	Fall	2017	N	Cliff	H	69.17	Breeder	Unknown					45.3708	-78.20292	16.5	-1.1	7.7	0
G28	OOPLOOSR-2017	OOPLOOSR	M	2013	3	OralSwab	27/10/2017	27	10	Fall	2017	N	SWAir	M	66.45	Breeder	Unknown					45.33548	-78.3036	9.9	2	6	0
G30	ROLLPOSR-2018	ROLLPOSR	M	2012	7	OralSwab	19/10/2018	19	10	Fall	2018	N	Cliff	H	69.17	Breeder	Unknown					45.3708	-78.20292	14.3	-0.6	6.9	0
G0	TOSLBOGR-2017	TOSLBOGR	F	2015	3	OralSwab				Fall	2017	Y	SundayCreek	H	72.57	Unknown	Unknown			45.3501211	-78.2217056	45.36529	-78.21115				
G31	OOPLOOSR-2020	OOPLOOSR	M	2013	5	OralSwab	27/4/2020	27	4	Spring	2020	N	SWAir	M	66.45	Breeder	Unknown					45.56522	-78.51	13.9	-2.8	5.5	
G32	YOYLWOSR-2020	YOYLWOSR	M	2018	2	OralSwab	28/4/2020	28	4	Spring	2020	N	CamLkRd	M	56.46	Breeder	Unknown					46.02642	-78.57	9.1	-3.9	2.6	
G33	TOGLPOSR-2020	TOGLPOSR	M	2016	6	OralSwab	26/4/2020	26	4	Spring	2020	N	WolfHowl	H	70.33	Breeder	DominantJuvenile			45.34474543	-78.42056097	45.98258	-79.16269	13	-1.6	5.7	
G34	SOYLWOYR-2020	SOYLWOYR	M	2013	7	OralSwab	28/4/2020	28	4	Spring	2020	N	NorthBog	L	37.91	Breeder	Unknown					45.61469	-78.35319	9.1	-3.9	2.6	
G35	GOGLGOSR-2020	GOGLGOSR	F	2015	5	OralSwab	27/4/2020	27	4	Spring	2020	N	Mile36	M	50.59	Breeder	Unknown					45.91828	-78.45986	13.9	-2.8	5.5	
G36	WOSLROWR-2020	WOSLROWR	F	2016	4	OralSwab	04/05/2020	4	5	Spring	2020	N	CamLkRd	M	56.46	Breeder	Unknown					46.02642	-78.57	5.5	-2.6	1.4	
G37	WOGLYOSR-2020	WOGLYOSR	F	2015	5	OralSwab	27/4/2020	27	4	Spring	2020	N	TDSN	L	46.41	Breeder	Unknown					45.99042	-78.51	13.9	-2.8	5.5	
G38	BOSLPORR-2020	BOSLPORR	F	2016	4	OralSwab	26/4/2020	26	4	Spring	2020	N	Arowhon	H	74.25	Breeder	Unknown			45.3519584	-78.42064669	45.58742	-78.761	13	-1.6	5.7	
G39	TOKLKOSR-2020	TOKLKOSR	M	2016	4	OralSwab	26/4/2020	26	4	Spring	2020	N	Arowhon	H	75.25	Breeder	DominantJuvenile			45.3453553	-78.422206	45.58742	-79.18036	13	-1.6	5.7	
G40	ROSLROWR-2020	ROSLROWR	M	2016	4	OralSwab	27/4/2020	27	4	Spring	2020	N	Mile36	M	50.59	Breeder	Unknown					45.91828	-78.45986	13.9	-2.8	5.5	
G41	KOSLKOLR-2020	KOSLKOLR	F	2017	3	OralSwab	02/05/2020	2	5	Spring	2020	N	OpeoBridge	M	66.38	Breeder	Unknown					46.0365	-78.58714	17.6	-1.8	7.9	
G42	GOSLWOKR-2020	GOSLWOKR	F	2013	7	OralSwab	05/05/2020	5	5	Spring	2020	N	SWAir	M	66.45	Breeder	Unknown					45.56522	-78.51	10.3	-3.9	3.2	
G43	ROSLBOTR-2020	ROSLBOTR	M	2019	1	OralSwab	24/2/2020	24	2	Winter	2020	N	TDSN	L	46.41	Breeder	Unknown					45.58742	-79.18036	7.8	-6.9	0.4	
G44	BOKLOOSR-2020	BOKLOOSR	M	2016	4	OralSwab	24/2/2020	24	2	Winter	2020	N	TDSS	L	46.41	Breeder	Unknown					45.98144	-78.75375	7.8	-6.9	0.4	
G45	YOBLBOSR-2019	YOBLBOSR	M	2019	1	OralSwab	11/12/2019	11	12	Winter	2019	N	CamLkRd	M	56.46	Non-breeder	DominantJuvenile		WOSLROWR			46.02642	-78.57	-9.6	-19.6	-13	
G46	ROOLOOSR-2019	ROOLOOSR	F	2018	2	OralSwab	22/4/2019	22	4	Spring	2019	N	TDSN	L	46.41	Non-breeder	DominantJuvenile		WOGLYOSR			45.58742	-79.18036	13.8	-1.4	6.2	0
G47	OOTLTOSR-2019	OOTLTOSR	M	2019	1	OralSwab	11/12/2019	11	12	Winter	2019	N	SundayCreek	H	72.57	Non-breeder	DominantJuvenile		TOSLBOGR			45.61469	-78.35319	-9.6	-19.6	-13	
G48	ROWLROSR-2020	ROWLROSR	Unknown	2020	1	OralSwab	20/4/2020	20	4	Spring	2020	N	CamLkRd	M	56.46	Non-breeder	Unknown		WOSLROWR			46.01961	-78.57283	7	-9.6	-1.3	
G49	BOSLTOOR-2020	BOSLTOOR	Unknown	2020	1	OralSwab	20/4/2020	20	4	Spring	2020	N	CamLkRd	M	56.46	Non-breeder	DominantJuvenile		WOSLROWR			46.01961	-78.57283	7	-9.6	-1.3	
G50	WOSLTOGR-2020	WOSLTOGR	Unknown	2020	1	OralSwab	20/4/2020	20	4	Spring	2020	N	CamLkRd	M	56.46	Non-breeder	Unknown		WOSLROWR			46.01961	-78.57283	7	-9.6	-1.3	
G51	TOSLOORR-2020	TOSLOORR	Unknown	2020	1	OralSwab	20/4/2020	20	4	Spring	2020	N	CamLkRd	M	56.46	Non-breeder	Unknown		WOSLROWR			46.01961	-78.57283	7	-9.6	-1.3	
G52	TOYLTOSR-2020	TOYLTOSR	Unknown	2020	1	OralSwab	16/4/2020	16	4	Spring	2020	N	Mile36	M	50.59	Non-breeder	Unknown	ROSLROWR	GOGLGOSR			45.91828	-78.45986	3.1	-10.9	-3.1	
G53	ROSLBORR-2020	ROSLBORR	Unknown	2020	1	OralSwab	16/4/2020	16	4	Spring	2020	N	Mile36	M	50.59	Non-breeder	Unknown	ROSLROWR	GOGLGOSR			45.91828	-78.45986	3.1	-10.9	-3.1	
G54	GOSLBOWR-2020	GOSLBOWR	Unknown	2020	1	OralSwab	16/4/2020	16	4	Spring	2020	N	Mile36	M	50.59	Non-breeder	Unknown	ROSLROWR	GOGLGOSR			45.91828	-78.45986	3.1	-10.9	-3.1	
G55	OOOLLOSR-2020	OOOLLOSR	Unknown	2020	1	OralSwab	14/4/2020	14	4	Spring	2020	N	DaviesBog	H	89.08	Non-breeder	Unknown		OOSLBOGR			45.58044	-78.52369	3.9	-4.4	-0.3	
G56	TOWLROSR-2020	TOWLROSR	Unknown	2020	1	OralSwab	14/4/2020	14	4	Spring	2020	N	DaviesBog	H	89.08	Non-breeder	Unknown		OOSLBOGR			45.58044	-78.52369	3.9	-4.4	-0.3	
G57	BOSLYOOR-2020	BOSLYOOR	Unknown	2020	1	OralSwab	07/04/2020	7	4	Spring	2020	N	WolfHowl	H	70.33	Non-breeder	Unknown	TOGLPOSR				45.98258	-79.16269	12.3	-6.5	2.9	
G58	GOTLTOSR-2020	GOTLTOSR	Unknown	2020	1	OralSwab	07/04/2020	7	4	Spring	2020	N	WolfHowl	H	70.33	Non-breeder	Unknown	TOGLPOSR				45.98258	-79.16269	12.3	-6.5	2.9	
G59	RORLWOSR-2020	RORLWOSR	Unknown	2020	1	OralSwab	07/04/2020	7	4	Spring	2020	N	WolfHowl	H	70.33	Non-breeder	Unknown	TOGLPOSR				45.98258	-79.16269	12.3	-6.5	2.9	
G60	BOSLROTR-2020	BOSLROTR	Unknown	2020	1	OralSwab	17/4/2020	17	4	Spring	2020	N	Arowhon	H	75.25	Non-breeder	Unknown	TOKLKOSR	BOSLPORR			45.58742	-79.18036	4.6	-6.2	-0.8	
G61	OORLYOSR-2020	OORLYOSR	Unknown	2020	1	OralSwab	17/4/2020	17	4	Spring	2020	N	Arowhon	H	75.25	Non-breeder	Unknown	TOKLKOSR	BOSLPORR			45.58742	-79.18036	4.6	-6.2	-0.8	
G62	WOSLBOGR-2020	WOSLBOGR	Unknown	2020	1	OralSwab	17/4/2020	17	4	Spring	2020	N	Arowhon	H	75.25	Non-breeder	Unknown	TOKLKOSR	BOSLPORR			45.58742	-79.18036	4.6	-6.2	-0.8	
G63	TOBLOOSR-2020	TOBLOOSR	Unknown	2020	1	OralSwab	28/4/2020	28	4	Spring	2020	N	NorthBog	L	37.91	Non-breeder	Unknown		SOYLWOYR			46.02244	-78.59011	9.1	-3.9	2.6	
G64	ROWLYOSR-2020	ROWLYOSR	Unknown	2020	1	OralSwab	28/4/2020	28	4	Spring	2020	N	NorthBog	L	37.91	Non-breeder	Unknown		SOYLWOYR			46.02244	-78.59011	9.1	-3.9	2.6	
G65	BOSLTORR-2020	BOSLTORR	Unknown	2020	1	OralSwab	28/4/2020	28	4	Spring	2020	N	NorthBog	L	37.91	Non-breeder	Unknown		SOYLWOYR			46.02244	-78.59011	9.1	-3.9	2.6	
G66	WOSLTOOR-2020	WOSLTOOR	Unknown	2020	1	OralSwab	14/4/2020	14	4	Spring	2020	N	BatLake	H	87.68	Non-breeder	Unknown		KOOLTOSR			45.59133	-78.52003	3.9	-4.4	-0.3	
G67	WOTLOOSR-2020	WOTLOOSR	Unknown	2020	1	OralSwab	14/4/2020	14	4	Spring	2020	N	BatLake	H	87.68	Non-breeder	Unknown		KOOLTOSR			45.59133	-78.52003	3.9	-4.4	-0.3	
G68	OOGLTOSR-2020	OOGLTOSR	Unknown	2020	1	OralSwab	14/4/2020	14	4	Spring	2020	N	BatLake	H	87.68	Non-breeder	Unknown		KOOLTOSR			45.59133	-78.52003	3.9	-4.4	-0.3	
G69	LOSLROYR-2020	LOSLROYR	Unknown	2020	1	OralSwab	14/4/2020	14	4	Spring	2020	N	BatLake	H	87.68	Non-breeder	Unknown		KOOLTOSR			45.59133	-78.52003	3.9	-4.4	-0.3	
G70	BLANK2	BLANK	BLANK	0	0	BLANK	BLANK	0	0	BLANK	2020	BLANK	BLANK	BLANK		BLANK	BLANK										
G71	TOKLKOSR-2020-2	TOKLKOSR	M	2016	4	OralSwab	13/10/2020	13	10	Fall	2020	N	Arowhon	H	75.25	Breeder	DominantJuvenile			45.3453553	-78.422206	45.58742	-79.18036	12.5	3.6	8.1	2.3
G72	BOSLPORR-2020-2	BOSLPORR	F	2016	4	OralSwab	13/10/2020	13	10	Fall	2020	N	Arowhon	H	76.25	Breeder	Unknown			45.3519584	-78.42064669	45.58742	-79.18036	12.5	3.6	8.1	2.3
G73	RORLYOSR-2020	RORLYOSR	M	2019	2	OralSwab	14/10/2020	14	10	Fall	2020	N	WestRose	L	35.42	Breeder	Unknown					45.95027778	-79.14422222	14.3	1	7.7	0.6
G74	OOSLOOLR-2020	OOSLOOLR	F	2020	1	OralSwab	14/10/2020	14	10	Fall	2020	N	WestRose	L	35.42	Breeder	Unknown					45.95027778	-79.14422222	14.3	1	7.7	0.6
G75	ROSLROWR-2020-2	ROSLROWR	M	2016	4	OralSwab	14/10/2020	14	10	Fall	2020	N	Mile36	M	50.59	Breeder	Unknown					45.91827778	-78.45986111	14.3	1	7.7	0.6
G76	GOSLTOKR-2020	GOSLTOKR	M	2017	3	OralSwab	14/10/2020	14	10	Fall	2020	N	Alligator	M	58.16	Breeder	Unknown					45.54480556	-78.26122222	14.3	1	7.7	0.6
G77	RORLLOSR-2020	RORLLOSR	M	2020	1	OralSwab	15/10/2020	15	10	Fall	2020	N	ClarkeLake	M	49.09	Non-breeder	Unknown	TORLYOSR				45.53575	-78.26225	11.3	5	8.1	12.2
G78	TORLYOSR-2020	TORLYOSR	M	2019	2	OralSwab	15/10/2020	15	10	Fall	2020	N	ClarkeLake	M	49.09	Breeder	Unknown					45.53575	-78.26225	11.3	5	8.1	12.2
G79	OOSLBOYR-2020	OOSLBOYR	M	2020	1	OralSwab	15/10/2020	15	10	Fall	2020	N	BatLake	H	87.68	Breeder	Unknown					45.59133333	-78.52002778	11.3	5	8.1	12.2
G80	YOYLTOSR-2020	YOYLTOSR	F	2020	1	OralSwab	15/10/2020	15	10	Fall	2020	N	BatLake	H	87.68	Non-breeder	Unknown	OOSLBOYR				45.59133333	-78.52002778	11.3	5	8.1	12.2
G81	SOYLWOYR-2020-2	SOYLWOYR	M	2013	7	OralSwab	16/10/2020	16	10	Fall	2020	N	NorthBog	L	37.91	Breeder	Unknown					45.61469444	-78.35319444	8.1	-3.7	2.2	3.1
G82	KOSLKOLR-2020-2	KOSLKOLR	F	2017	3	OralSwab	16/10/2020	16	10	Fall	2020	N	OpeoBridge	M	66.38	Breeder	Unknown					46.0365	-78.58713889	8.1	-3.7	2.2	3.1
G83	BOPLOOSR-2020	BOPLOOSR	F	2019	2	OralSwab	16/10/2020	16	10	Fall	2020	N	Cliff	H	69.17	Breeder	Unknown					45.61888889	-78.34144444	8.1	-3.7	2.2	3.1
G84	KOSLPOKR-2020	KOSLPOKR	M	2017	4	OralSwab	16/10/2020	16	10	Fall	2020	N	OpeoTurn	M	43.03	Breeder	Unknown			45.35379708	-78.195793	45.59188889	-78.33977778	8.1	-3.7	2.2	3.1
G85	WOSLTOWR-2020	WOSLTOWR	F	2020	1	OralSwab	16/10/2020	16	10	Fall	2020	N	OpeoTurn	M	43.03	Breeder	Unknown					45.59188889	-78.33977778	8.1	-3.7	2.2	3.1
G86	OOPLOOSR-2020-2	OOPLOOSR	M	2013	5	OralSwab	17/10/2020	17	10	Fall	2020	N	SWAir	M	66.45	Breeder	Unknown					45.56522222	-78.51	10.3	-4.8	2.7	0
G87	ROLLPOSR-2020	ROLLPOSR	M	2012	9	OralSwab	17/10/2020	17	10	Fall	2020	N	Cliff	H	69.17	Breeder	Unknown					45.61888889	-78.34144444	10.3	-4.8	2.7	0
G88	BOSLROWR-2020	BOSLROWR	F	2020	1	OralSwab	17/10/2020	17	10	Fall	2020	N	SundayCreek	H	72.57	Non-breeder	Unknown					45.61469444	-78.35319444	10.3	-4.8	2.7	0
G89	KOSLGOBR-2020	KOSLGOBR	F	2018	2	OralSwab	18/10/2020	18	10	Fall	2020	N	Boardwalk	H	65.02	Breeder	Unknown					45.9885	-78.61808333	11.3	2.3	6.7	6.3
G90	BLANK3	BLANK	BLANK	0	0	BLANK	BLANK	0	0	BLANK	2020	BLANK	BLANK	BLANK		BLANK	BLANK										